query_id,precision,recall,f1,precision_at_5,recall_at_5,precision_at_10,recall_at_10,average_precision,reciprocal_rank,ndcg_at_10,method
Q003,0.2,1.0,0.33333333333333337,0.2,1.0,0.2,1.0,1.0,1.0,1.0,TF-IDF
Q004,0.2,1.0,0.33333333333333337,0.2,1.0,0.2,1.0,1.0,1.0,1.0,TF-IDF
Q005,0.2,1.0,0.33333333333333337,0.2,1.0,0.2,1.0,1.0,1.0,1.0,TF-IDF
Q003,0.2,1.0,0.33333333333333337,0.2,1.0,0.2,1.0,1.0,1.0,1.0,Hybrid
Q004,0.2,1.0,0.33333333333333337,0.2,1.0,0.2,1.0,1.0,1.0,1.0,Hybrid
Q005,0.2,1.0,0.33333333333333337,0.2,1.0,0.2,1.0,1.0,1.0,1.0,Hybrid
