rank,doc_id,title,category,url,similarity
1,DOC0032,Information Retrieval Facility - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Information_Retrieval_Facility,0.5089331092888679
2,DOC0034,Information behavior - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Information_behavior,0.46566296314944977
