method,precision,recall,f1,precision_at_5,recall_at_5,precision_at_10,recall_at_10,map,mrr,ndcg_at_10
TF-IDF,0.2,1.0,0.3333,0.2,1.0,0.2,1.0,1.0,1.0,1.0
Hybrid,0.2,1.0,0.3333,0.2,1.0,0.2,1.0,1.0,1.0,1.0
