doc_id,rank,keyword,tfidf_score
DOC0018,1,reserv,0.434391
DOC0018,2,univers,0.433541
DOC0018,3,western,0.348465
DOC0018,4,case,0.32951
DOC0018,5,cleveland,0.250204
DOC0018,6,colleg,0.22233
DOC0018,7,cwru,0.152665
DOC0018,8,school,0.111039
DOC0018,9,student,0.105784
DOC0018,10,retriev,0.104481
DOC0019,1,index,0.58655
DOC0019,2,document,0.324868
DOC0019,3,word,0.226165
DOC0019,4,invert,0.224576
DOC0019,5,engin,0.201036
DOC0019,6,token,0.164689
DOC0019,7,format,0.155737
DOC0019,8,store,0.128689
DOC0019,9,compress,0.127259
DOC0019,10,forward,0.121012
DOC0020,1,classif,0.613931
DOC0020,2,taxonomi,0.598845
DOC0020,3,concept,0.106003
DOC0020,4,edit,0.09172
DOC0020,5,approach,0.084666
DOC0020,6,biolog,0.074951
DOC0020,7,taxonom,0.070309
DOC0020,8,natur,0.065128
DOC0020,9,classifi,0.064244
DOC0020,10,speci,0.064158
DOC0021,1,rck,0.542485
DOC0021,2,jone,0.466459
DOC0021,3,karen,0.32841
DOC0021,4,comput,0.173784
DOC0021,5,cambridg,0.137124
DOC0021,6,retriev,0.126573
DOC0021,7,award,0.113154
DOC0021,8,inform,0.107779
DOC0021,9,fellow,0.101141
DOC0021,10,bc,0.098261
DOC0022,1,recommend,0.770597
DOC0022,2,system,0.225941
DOC0022,3,user,0.201375
DOC0022,4,filter,0.138217
DOC0022,5,acm,0.106642
DOC0022,6,doi,0.100709
DOC0022,7,netflix,0.098898
DOC0022,8,base,0.097781
DOC0022,9,evalu,0.092818
DOC0022,10,collabor,0.091986
DOC0023,1,bet,0.631678
DOC0023,2,nfl,0.594202
DOC0023,3,odd,0.154296
DOC0023,4,wager,0.148836
DOC0023,5,app,0.123706
DOC0023,6,player,0.118327
DOC0023,7,prop,0.10528
DOC0023,8,sportsbook,0.105274
DOC0023,9,bettor,0.098014
DOC0023,10,payout,0.087123
DOC0024,1,probabilist,0.364926
DOC0024,2,relev,0.362998
DOC0024,3,model,0.357844
DOC0024,4,framework,0.190285
DOC0024,5,queri,0.167437
DOC0024,6,probabl,0.15649
DOC0024,7,document,0.153963
DOC0024,8,edit,0.149761
DOC0024,9,robertson,0.136847
