source_doc,target_doc
DOC0041,DOC0001
DOC0041,DOC0048
DOC0041,DOC0004
DOC0042,DOC0017
DOC0042,DOC0040
DOC0042,DOC0043
DOC0042,DOC0001
DOC0042,DOC0047
DOC0042,DOC0048
DOC0043,DOC0017
DOC0043,DOC0038
DOC0043,DOC0042
DOC0043,DOC0001
DOC0043,DOC0047
DOC0043,DOC0048
DOC0044,DOC0033
DOC0044,DOC0038
DOC0044,DOC0045
DOC0044,DOC0048
DOC0044,DOC0004
DOC0045,DOC0008
DOC0045,DOC0033
DOC0045,DOC0038
DOC0045,DOC0048
DOC0045,DOC0049
DOC0046,DOC0033
DOC0046,DOC0038
DOC0046,DOC0045
DOC0046,DOC0048
DOC0047,DOC0017
DOC0047,DOC0038
DOC0047,DOC0042
DOC0047,DOC0043
DOC0047,DOC0001
DOC0047,DOC0048
DOC0049,DOC0008
DOC0049,DOC0010
DOC0049,DOC0033
DOC0049,DOC0038
DOC0049,DOC0045
DOC0049,DOC0048
DOC0050,DOC0006
DOC0050,DOC0009
DOC0050,DOC0021
DOC0050,DOC0033
DOC0050,DOC0038
DOC0050,DOC0001
DOC0050,DOC0048
